Statistical profiling result from info.log, (4276 ticks, 4 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    4.3%        LazyCompile: ~parse /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/content-type/index.js:106:16
      2  100.0%          LazyCompile: ~setCharset /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/utils.js:250:41
      2  100.0%            LazyCompile: ~send /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/response.js:107:25
      2    4.3%        LazyCompile: ~normalize node:path:1131:12
      1   50.0%          LazyCompile: ~pipe /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/send/index.js:510:43
      1  100.0%            LazyCompile: ~serveStatic /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/serve-static/index.js:72:31
      1   50.0%          LazyCompile: ~join node:path:1170:7
      1  100.0%            LazyCompile: ~pipe /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/send/index.js:510:43
      2    4.3%        LazyCompile: ~FastBuffer node:internal/buffer:958:14
      2  100.0%          LazyCompile: ~createUnsafeBuffer node:internal/buffer:1059:28
      1   50.0%            LazyCompile: ~createPool node:buffer:148:20
      1   50.0%            LazyCompile: ~allocate node:buffer:398:18
      2    4.3%        LazyCompile: ~<anonymous> node:internal/fs/utils:356:35
      2  100.0%          LazyCompile: ~<anonymous> node:internal/fs/utils:665:38
      2  100.0%            LazyCompile: ~<anonymous> node:internal/fs/utils:677:42
      2    4.3%        LazyCompile: *Module._findPath node:internal/modules/cjs/loader:490:28
      2  100.0%          LazyCompile: ~Module._resolveFilename node:internal/modules/cjs/loader:856:35
      1   50.0%            LazyCompile: ~Module._load node:internal/modules/cjs/loader:753:24
      1   50.0%            LazyCompile: *Module._load node:internal/modules/cjs/loader:753:24
      1    2.1%        LazyCompile: ~randomBytes node:internal/crypto/random:91:21
      1  100.0%          LazyCompile: ~randomBytesSync /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/random-bytes/index.js:72:25
      1  100.0%            LazyCompile: ~uidSync /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/uid-safe/index.js:75:18
      1    2.1%        LazyCompile: ~populateMaps /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/mime-types/index.js:154:23
      1  100.0%          Eval: ~<anonymous> /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/mime-types/index.js:1:1
      1  100.0%            LazyCompile: ~Module._compile node:internal/modules/cjs/loader:1063:37
      1    2.1%        LazyCompile: ~pipe /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/send/index.js:510:43
      1  100.0%          LazyCompile: ~serveStatic /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/serve-static/index.js:72:31
      1  100.0%            LazyCompile: ~handle /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/router/layer.js:86:49
